Name,Pitches,StuffPlus,AVGExitVelo,xwOBA,RunValue,CS,SwStr,CSW,RV100
Triston McKenzie,300,107.155,83.437,0.347,0.343,13.67,10.33,24.0,0.114
Tucker Davidson,843,95.842,82.393,0.396,5.692,17.79,10.56,28.35,0.675
Ty Adcock,207,101.932,83.562,0.461,-1.045,13.53,10.63,24.16,-0.505
Tyler Alexander,679,104.104,81.851,0.373,-0.091,21.06,7.81,28.87,-0.013
Tyler Anderson,2427,102.102,80.063,0.377,10.233,13.93,12.65,26.58,0.422
Tyler Glasnow,1893,156.86,83.756,0.409,-12.821,17.06,16.38,33.44,-0.677
Tyler Holton,1191,103.694,80.731,0.351,-22.249,17.97,12.01,29.98,-1.868
Tyler Mahle,409,119.039,81.695,0.356,0.185,17.85,9.78,27.63,0.045
Tyler Wells,1891,115.084,81.506,0.38,-10.752,16.76,11.21,27.97,-0.569
Wandy Peralta,877,122.171,80.827,0.354,-5.715,12.77,13.45,26.22,-0.652
Will Smith,861,87.394,82.152,0.341,-12.16,16.49,13.82,30.31,-1.412
Will Vest,780,109.633,83.752,0.345,-1.761,20.64,10.51,31.15,-0.226
Xzavion Curry,1494,99.771,84.281,0.377,-0.333,15.86,9.04,24.9,-0.022
Yennier Cano,1006,181.893,83.546,0.336,-16.027,16.3,12.13,28.43,-1.593
Yerry Rodríguez,278,111.577,84.537,0.361,7.542,14.75,12.59,27.34,2.713
Yimi García,1094,121.425,80.488,0.369,-1.635,15.45,13.35,28.8,-0.149
Yohan Ramirez,106,156.969,82.186,0.296,2.441,27.36,4.72,32.08,2.303
Yonny Chirinos,941,143.167,85.238,0.398,-3.406,15.2,7.01,22.21,-0.362
Yusei Kikuchi,2804,134.53,83.516,0.396,-7.978,15.51,12.34,27.85,-0.285
Zach Eflin,2574,104.544,81.632,0.352,-18.491,19.08,11.15,30.23,-0.718
Zach Jackson,369,119.112,80.038,0.346,-2.33,15.45,10.3,25.75,-0.631
Zach Logue,173,92.65,82.685,0.364,2.776,12.14,8.67,20.81,1.605
Zach McAllister,123,171.891,79.989,0.463,5.042,12.2,8.94,21.14,4.099
Zach Neal,462,105.93,80.27,0.469,9.163,15.37,10.61,25.98,1.983
Zach Plesac,369,113.788,83.985,0.387,10.92,14.36,9.76,24.12,2.959
Zach Pop,194,129.677,84.511,0.427,2.635,20.1,12.37,32.47,1.358
Zack Greinke,2212,87.28,83.915,0.391,14.114,17.54,7.1,24.64,0.638
Zack Kelly,175,138.765,82.412,0.324,0.768,16.57,8.0,24.57,0.439
Zack Littell,1316,97.615,82.656,0.372,-6.752,15.88,10.64,26.52,-0.513
Zack Short,100,67.959,85.648,0.438,2.416,12.0,2.0,14.0,2.416
Zack Weiss,224,115.912,82.808,0.391,-3.263,19.64,11.61,31.25,-1.457
