Name,Pitches,StuffPlus,AVGExitVelo,xwOBA,RunValue,CS,SwStr,CSW,RV100
Jesse Scholtens,1447,115.212,84.398,0.365,10.104,16.52,8.64,25.16,0.698
Jeurys Familia,248,110.866,84.086,0.319,3.96,14.92,10.08,25.0,1.597
Jhoan Duran,1016,155.281,83.026,0.327,-17.516,13.48,16.34,29.82,-1.724
Jhonathan Diaz,160,102.535,84.38,0.348,9.078,16.25,6.88,23.13,5.674
Jhony Brito,1442,112.452,82.489,0.367,-0.026,17.55,9.22,26.77,-0.002
Jimmy Cordero,512,150.19,83.871,0.346,-6.857,20.7,9.57,30.27,-1.339
Jimmy Herget,505,123.121,82.078,0.384,8.363,17.82,9.31,27.13,1.656
Jimmy Lambert,675,105.64,83.942,0.439,10.93,17.78,11.26,29.04,1.619
Joe Barlow,147,112.745,85.351,0.326,3.766,17.69,12.93,30.62,2.562
Joe Boyle,240,121.001,82.135,0.256,-4.347,19.58,8.75,28.33,-1.811
Joe Jacques,432,113.074,82.497,0.306,9.268,22.69,6.71,29.4,2.145
Joe Kelly,538,143.097,82.443,0.354,3.698,20.82,12.45,33.27,0.687
Joe Ryan,2674,113.545,82.298,0.382,-0.618,13.84,13.84,27.68,-0.023
Joel Kuhnel,137,123.873,85.191,0.387,-1.29,10.22,10.22,20.44,-0.942
Joely Rodríguez,215,137.424,80.788,0.453,1.754,19.53,10.7,30.23,0.816
Joey Estes,165,92.155,85.373,0.465,1.863,15.76,15.15,30.91,1.129
Joey Wentz,1926,100.272,83.772,0.416,27.321,15.73,11.06,26.79,1.419
John King,266,118.379,84.154,0.324,4.34,18.42,7.52,25.94,1.632
John Means,339,111.48,79.808,0.352,-3.179,16.52,7.96,24.48,-0.938
John Schreiber,819,138.225,81.96,0.351,-2.072,18.44,10.5,28.94,-0.253
Jon Gray,2391,104.73,83.236,0.371,-2.391,15.39,12.38,27.77,-0.1
Jonathan Heasley,221,96.399,84.885,0.477,5.898,14.48,11.76,26.24,2.669
Jonathan Hernández,552,133.858,83.682,0.392,6.575,17.57,12.86,30.43,1.191
Jonathan Loáisiga,235,138.458,81.594,0.26,-2.732,14.47,7.66,22.13,-1.163
Jordan Balazovic,392,110.171,85.986,0.379,0.553,15.56,7.65,23.21,0.141
Jordan Hicks,356,128.899,82.448,0.335,-4.902,19.94,9.55,29.49,-1.377
Jordan Lyles,2783,99.878,83.201,0.377,30.603,15.02,8.95,23.97,1.1
Jordan Montgomery,993,112.135,82.475,0.347,-13.654,14.8,13.39,28.19,-1.375
Jordan Romano,911,151.163,83.169,0.355,-14.53,15.37,17.23,32.6,-1.595
Jorge Alcala,315,113.195,80.147,0.421,5.229,19.37,9.84,29.21,1.66
Jorge López,712,113.039,83.405,0.396,7.439,19.1,10.11,29.21,1.045
Jose Cuas,739,119.233,83.0,0.418,10.012,17.32,13.67,30.99,1.355
Josh Fleming,752,133.297,85.099,0.366,2.358,16.76,7.45,24.21,0.314
Josh Sborz,833,127.121,83.737,0.37,-0.41,17.77,15.73,33.5,-0.049
Josh Staumont,359,118.481,81.15,0.366,3.71,13.37,12.26,25.63,1.033
Josh Taylor,341,109.715,81.299,0.467,8.266,16.72,13.78,30.5,2.424
Josh Winckowski,1380,116.043,83.049,0.343,-5.9,16.16,12.32,28.48,-0.428
Josh Winder,557,93.536,84.116,0.378,0.45,15.08,9.34,24.42,0.081
José Berríos,2932,105.935,82.238,0.396,-11.077,18.49,10.91,29.4,-0.378
José Cisnero,986,124.777,82.493,0.401,11.204,16.33,10.95,27.28,1.136
José De León,282,151.798,82.05,0.385,-0.811,20.57,10.64,31.21,-0.288
José Leclerc,972,127.533,80.821,0.311,-9.565,12.55,16.46,29.01,-0.984
José Marte,173,118.937,81.864,0.381,6.961,13.87,8.09,21.96,4.024
José Quijada,156,143.783,81.048,0.41,0.377,15.38,8.97,24.35,0.242
José Ruiz,115,116.031,84.107,0.643,6.603,10.43,13.04,23.47,5.742
José Soriano,666,161.892,86.044,0.377,-4.267,18.77,15.17,33.94,-0.641
José Suarez,612,105.961,81.88,0.404,12.742,14.05,12.42,26.47,2.082
José Ureña,408,106.205,82.465,0.322,1.179,15.69,11.03,26.72,0.289
José Urquidy,1093,102.396,81.245,0.354,2.441,12.63,11.07,23.7,0.223
Jovani Moran,748,116.445,80.285,0.335,2.906,17.51,15.37,32.88,0.389
Juan Then,163,111.673,89.28,0.359,-1.045,18.4,6.13,24.53,-0.641
Justin Garza,352,143.869,84.993,0.481,5.448,17.05,8.81,25.86,1.548
Justin Topa,1042,116.8,81.015,0.306,-12.751,21.69,8.45,30.14,-1.224
Justin Verlander,1041,105.384,83.406,0.381,-9.289,15.95,9.8,25.75,-0.892
Kaleb Ort,383,137.853,84.035,0.4,9.518,14.62,8.09,22.71,2.485
Keegan Akin,451,112.535,82.451,0.431,4.662,17.52,12.64,30.16,1.034
Ken Waldichuk,2549,111.066,82.295,0.364,19.783,14.24,11.1,25.34,0.776
Kendall Graveman,1101,123.695,82.606,0.36,-7.688,16.62,11.99,28.61,-0.698
Kenley Jansen,719,136.419,82.525,0.339,-3.756,15.86,13.35,29.21,-0.522
Kenny Rosenberg,543,95.374,82.879,0.316,-1.511,13.63,10.31,23.94,-0.278
Kenta Maeda,1696,99.041,82.079,0.374,-3.834,15.8,12.85,28.65,-0.226
Kevin Gausman,3057,127.445,81.895,0.405,-16.996,16.68,13.08,29.76,-0.556
Kevin Kelly,1063,198.992,80.959,0.309,-7.189,20.7,9.22,29.92,-0.676
Keynan Middleton,855,114.818,79.7,0.37,-6.165,14.04,17.19,31.23,-0.721
Kirby Snead,191,102.297,83.384,0.421,3.715,17.8,9.42,27.22,1.945
Kody Funderburk,192,115.639,78.68,0.325,-4.11,20.83,13.54,34.37,-2.141
Kolton Ingram,100,127.015,88.116,0.482,4.031,17.0,13.0,30.0,4.031
Kris Bubic,235,106.815,83.077,0.376,-1.508,13.19,15.32,28.51,-0.642
Kutter Crawford,2092,110.323,81.325,0.339,-9.988,13.96,12.57,26.53,-0.477
Kyle Barraclough,156,92.395,84.507,0.459,9.675,12.18,7.05,19.23,6.202
Kyle Bradish,2630,105.463,83.586,0.364,-28.126,18.14,11.14,29.28,-1.069
Kyle Gibson,3022,115.215,83.439,0.381,-0.533,16.55,10.62,27.17,-0.018
Kyle Muller,1452,95.516,85.021,0.434,28.661,13.36,9.02,22.38,1.974
Lance Lynn,2094,130.798,82.115,0.422,26.742,13.32,14.04,27.36,1.277
Lane Ramsey,340,117.189,81.794,0.327,0.518,15.59,10.29,25.88,0.152
Logan Allen,2121,112.245,81.885,0.373,2.917,16.27,10.66,26.93,0.138
Logan Gilbert,2913,131.001,83.563,0.371,-13.793,14.97,12.15,27.12,-0.473
Logan Gillaspie,190,116.166,85.112,0.48,4.777,13.68,8.42,22.1,2.514
Louie Varland,1074,126.819,82.247,0.407,-1.934,15.18,12.57,27.75,-0.18
Lucas Erceg,1049,134.008,81.492,0.325,-0.932,17.35,10.58,27.93,-0.089
Lucas Giolito,3183,106.326,82.806,0.4,17.153,16.65,12.25,28.9,0.539
Luis Castillo,3171,131.24,83.687,0.382,-17.998,14.47,14.66,29.13,-0.568
Luis Garcia,464,106.726,81.606,0.383,1.029,14.01,14.66,28.67,0.222
Luis Medina,1882,117.911,83.205,0.376,8.603,15.04,10.57,25.61,0.457
Luis Patiño,383,113.047,83.277,0.382,1.104,15.14,7.83,22.97,0.288
Luis Severino,1630,107.678,83.56,0.418,29.017,14.91,9.2,24.11,1.78
Luke Weaver,463,101.209,82.507,0.397,-0.085,14.69,10.15,24.84,-0.018
Marco Gonzales,808,88.281,81.089,0.379,6.369,17.7,8.79,26.49,0.788
Martín Pérez,2213,95.416,83.175,0.361,2.899,18.48,7.37,25.85,0.131
Mason Englert,958,103.848,84.442,0.425,12.873,13.67,10.86,24.53,1.344
Mason Miller,607,139.035,82.739,0.289,-4.345,14.33,11.04,25.37,-0.716
Matt Brash,1292,144.899,82.8,0.369,-12.307,17.57,15.63,33.2,-0.953
Matt Festa,195,115.708,80.361,0.388,-1.693,12.31,15.38,27.69,-0.868
Matt Gage,119,110.532,76.962,0.355,-2.075,18.49,12.61,31.1,-1.744
Matt Manning,1180,127.73,83.973,0.388,-6.741,18.9,7.88,26.78,-0.571
Matt Moore,761,108.617,81.271,0.373,-10.149,14.06,13.67,27.73,-1.334
Matthew Boyd,1178,105.092,82.361,0.377,10.831,14.43,14.01,28.44,0.919
Mauricio Llovera,549,105.042,83.753,0.34,6.352,22.4,6.74,29.14,1.157
Max Castillo,340,110.883,82.543,0.364,0.971,14.41,6.76,21.17,0.286
Max Scherzer,715,125.047,81.335,0.289,-6.311,15.8,14.41,30.21,-0.883
Michael Kelly,272,97.782,81.599,0.323,-2.396,19.12,8.82,27.94,-0.881
Michael King,1672,116.226,81.382,0.37,-16.174,21.53,11.84,33.37,-0.967
Michael Kopech,2422,130.506,83.622,0.401,11.35,16.06,10.4,26.46,0.469
Michael Lorenzen,1586,115.425,82.84,0.36,-8.643,16.33,9.84,26.17,-0.545
Miguel Díaz,208,104.508,82.725,0.31,-6.079,16.83,12.5,29.33,-2.923
Mike Baumann,1068,123.667,83.725,0.406,-6.34,14.61,10.77,25.38,-0.594
Mike Clevinger,2098,112.198,82.048,0.349,-12.464,16.59,9.87,26.46,-0.594
Mike Mayers,454,99.441,82.53,0.344,3.808,16.08,8.37,24.45,0.839
Mitch White,253,98.251,83.027,0.38,4.262,15.42,11.86,27.28,1.685
Nate Pearson,736,157.325,86.083,0.348,-3.056,16.58,10.46,27.04,-0.415
Nathan Eovaldi,2214,116.65,83.262,0.355,-13.029,15.09,11.65,26.74,-0.588
Nestor Cortes,1066,107.695,82.416,0.359,4.793,16.32,10.51,26.83,0.45
Nicholas Padilla,100,102.417,90.681,0.679,1.742,16.0,15.0,31.0,1.742
Nick Pivetta,2382,127.686,82.509,0.405,-6.564,16.25,13.1,29.35,-0.276
Nick Ramirez,654,110.92,79.585,0.334,-0.497,19.42,10.55,29.97,-0.076
Nick Robertson,198,133.828,83.189,0.382,1.364,14.14,15.66,29.8,0.689
Nick Sandlin,998,117.264,79.526,0.381,-8.103,16.53,13.93,30.46,-0.812
Nick Vespi,202,105.179,82.765,0.333,0.128,16.34,8.91,25.25,0.063
Nick Wittgren,471,111.083,82.352,0.336,6.135,15.5,6.79,22.29,1.303
Noah Syndergaard,524,94.768,82.628,0.447,5.245,15.46,7.44,22.9,1.001
Oliver Ortega,239,101.194,82.054,0.27,-2.0,20.08,12.55,32.63,-0.837
Pablo López,3011,132.691,80.833,0.342,-21.513,15.61,14.65,30.26,-0.714
Parker Mushinski,255,137.371,83.071,0.403,4.59,16.86,9.8,26.66,1.8
Patrick Sandoval,2591,107.034,81.159,0.366,9.573,16.02,12.08,28.1,0.369
Paul Blackburn,1873,96.825,81.103,0.376,0.664,15.59,10.09,25.68,0.035
Paul Sewald,681,147.184,79.931,0.289,-4.909,18.65,14.54,33.19,-0.721
Penn Murfee,210,95.918,76.631,0.313,-5.107,18.1,12.86,30.96,-2.432
Pete Fairbanks,732,136.464,78.304,0.317,-15.241,21.72,13.11,34.83,-2.082
Peyton Battenfield,550,122.025,85.787,0.439,3.026,14.91,12.0,26.91,0.55
Phil Maton,1033,161.077,76.978,0.316,1.906,14.71,15.39,30.1,0.185
Rafael Montero,1251,134.123,81.325,0.397,11.385,13.35,13.11,26.46,0.91
Randy Vásquez,669,120.817,81.802,0.382,-6.009,17.94,7.03,24.97,-0.898
Reese Olson,1708,109.915,85.144,0.408,-6.141,16.8,11.89,28.69,-0.36
Reid Detmers,2591,89.945,82.62,0.389,3.986,15.21,12.23,27.44,0.154
Reynaldo López,1203,127.253,82.074,0.383,-7.753,12.72,14.46,27.18,-0.644
Richard Bleier,455,123.911,81.555,0.35,7.035,16.48,9.01,25.49,1.546
Richard Lovelady,370,139.085,82.794,0.328,-5.656,19.73,10.0,29.73,-1.529
Rico Garcia,184,130.239,85.609,0.501,5.62,12.5,10.87,23.37,3.054
Robert Stephenson,521,138.217,82.196,0.34,-12.511,13.24,28.79,42.03,-2.401
Ron Marinaccio,890,120.274,81.205,0.373,-0.947,14.38,11.24,25.62,-0.106
Ronel Blanco,905,114.988,83.184,0.399,5.429,11.05,15.69,26.74,0.6
Ryan Brasier,367,119.894,84.541,0.414,7.859,13.08,10.63,23.71,2.141
Ryan Pressly,1008,147.524,83.968,0.371,-6.714,16.37,15.38,31.75,-0.666
Ryan Sherriff,104,122.599,79.771,0.337,-1.816,19.23,11.54,30.77,-1.746
Ryan Tepera,183,95.341,83.272,0.365,4.316,14.75,11.48,26.23,2.358
Ryan Thompson,291,106.626,81.895,0.293,-1.802,19.93,7.22,27.15,-0.619
Ryan Weber,182,101.323,85.029,0.381,-1.86,18.13,7.14,25.27,-1.022
Ryan Yarbrough,779,104.456,79.169,0.362,-0.204,15.79,9.76,25.55,-0.026
Ryne Stanek,857,131.903,83.948,0.353,-4.11,10.62,14.59,25.21,-0.48
Sam Bachman,296,113.824,84.033,0.343,-2.272,16.22,11.82,28.04,-0.768
Sam Hentges,845,109.177,85.067,0.382,-12.38,19.17,11.6,30.77,-1.465
Sam Long,776,104.631,82.578,0.363,6.014,16.24,7.86,24.1,0.775
Sam Moll,634,131.647,80.556,0.309,-2.918,19.87,8.99,28.86,-0.46
Sammy Peralta,379,108.8,79.713,0.33,4.88,18.73,8.71,27.44,1.288
Sawyer Gipson-Long,336,141.244,82.211,0.301,-1.442,16.37,15.77,32.14,-0.429
Scott Barlow,701,133.472,80.244,0.349,4.69,18.54,12.55,31.09,0.669
Sean Newcomb,280,101.98,82.087,0.337,-2.857,17.5,7.86,25.36,-1.02
Seth Martinez,762,123.718,81.419,0.413,-3.088,16.8,10.89,27.69,-0.405
Shane Bieber,1951,117.108,84.915,0.391,-3.593,19.22,10.51,29.73,-0.184
Shane McClanahan,1817,128.454,83.788,0.379,-14.181,15.85,15.69,31.54,-0.78
Shawn Armstrong,796,111.085,81.036,0.299,-11.052,14.7,12.56,27.26,-1.388
Shawn Dubin,172,110.997,86.367,0.424,2.8,12.79,10.47,23.26,1.628
Shintaro Fujinami,1394,142.437,84.211,0.374,14.44,14.28,12.2,26.48,1.036
Shohei Ohtani,2077,132.702,81.046,0.382,-16.917,17.14,12.81,29.95,-0.814
Sonny Gray,2781,114.938,82.923,0.351,-37.965,16.65,11.58,28.23,-1.365
Spencer Patton,205,85.968,84.74,0.44,1.372,15.12,8.29,23.41,0.669
Spencer Turnbull,555,107.678,82.793,0.4,7.251,17.84,9.01,26.85,1.306
Steven Cruz,244,152.899,85.268,0.351,1.287,16.39,9.02,25.41,0.527
Taj Bradley,1817,123.649,82.538,0.42,10.145,14.69,11.45,26.14,0.558
Tanner Banks,1005,110.87,83.039,0.363,-2.693,16.92,9.95,26.87,-0.268
Tanner Bibee,2323,108.712,82.027,0.35,-23.637,16.4,11.15,27.55,-1.018
Tanner Houck,1708,130.72,84.02,0.359,1.659,15.93,12.7,28.63,0.097
Tarik Skubal,1217,99.82,82.25,0.314,-14.335,16.43,15.12,31.55,-1.178
