Name,PitchType,Pitches,Velo,MaxVelo,SpinRate,IVB,HB,RelHeight,Extension,StuffPlus,AVGExitVelo,xwOBA,RunValue,CS,SwStr,CSW,RV100
Germán Márquez,FourSeam,102,95.706,98.7,2162.706,15.351,-9.288,6.203,5.385,102.241,86.165,0.504,0.632,14.71,3.92,18.63,0.62
Germán Márquez,Sinker,67,94.755,97.6,2096.433,11.146,-15.378,6.13,5.433,124.271,86.569,0.332,2.175,20.9,2.99,23.89,3.246
Germán Márquez,Slider,75,88.479,90.5,2398.133,5.981,-0.144,5.986,5.44,98.365,88.779,0.335,-1.583,13.33,26.67,40.0,-2.111
Giovanny Gallegos,FourSeam,436,93.705,96.1,2338.165,16.933,-8.584,6.735,5.764,107.202,85.683,0.393,1.093,16.74,7.8,24.54,0.251
Giovanny Gallegos,Slider,402,84.956,88.0,2404.41,1.801,0.276,6.707,5.717,102.222,83.097,0.413,2.838,11.69,27.36,39.05,0.706
Graham Ashcraft,Cutter,1224,95.815,99.9,2432.026,6.817,2.061,6.299,5.658,121.9,84.164,0.349,-0.772,17.48,7.19,24.67,-0.063
Graham Ashcraft,Sinker,224,96.506,100.3,2339.705,7.399,-6.695,6.086,5.679,144.402,85.305,0.392,-0.01,10.27,3.57,13.84,-0.004
Graham Ashcraft,Slider,866,88.258,93.1,2831.342,-0.348,13.236,6.186,5.75,139.435,80.158,0.408,6.139,17.21,14.43,31.64,0.709
Grant Hartwig,Cutter,102,93.238,95.6,2221.451,7.024,-4.045,5.097,6.093,140.124,85.355,0.327,-0.399,18.63,7.84,26.47,-0.391
Grant Hartwig,Sinker,299,94.722,96.9,2131.348,6.78,-18.14,5.135,6.164,131.639,81.98,0.315,2.922,16.72,5.69,22.41,0.977
Grant Hartwig,Sweeper,200,82.554,85.3,2415.04,0.166,13.811,4.812,5.952,114.165,82.412,0.391,0.369,19.5,11.5,31.0,0.184
Gregory Soto,FourSeam,167,98.801,101.4,2326.359,14.26,10.911,5.74,6.729,119.949,84.024,0.341,3.958,14.37,11.98,26.35,2.37
