Name,Pitches,StuffPlus,AVGExitVelo,xwOBA,RunValue,CS,SwStr,CSW,RV100
Trevor Megill,599,160.072,83.896,0.388,-2.54,19.53,13.86,33.39,-0.424
Trevor Rogers,330,113.671,80.599,0.355,1.418,16.36,11.82,28.18,0.43
Trevor Williams,2617,105.036,81.413,0.401,20.34,14.44,7.83,22.27,0.777
Tristan Beck,1285,111.22,82.982,0.341,-5.327,16.11,10.74,26.85,-0.415
Ty Blach,1245,114.251,82.745,0.436,20.442,17.43,7.07,24.5,1.642
Tyler Gilbert,263,94.175,82.828,0.474,4.349,16.35,12.55,28.9,1.654
Tyler Kinley,298,112.647,83.813,0.392,1.051,14.43,9.73,24.16,0.353
Tyler Rogers,1103,124.73,77.655,0.283,-7.73,17.95,10.61,28.56,-0.701
Tylor Megill,2233,119.716,83.751,0.406,8.565,15.32,9.45,24.77,0.384
Tyson Miller,223,130.624,84.319,0.42,1.586,15.7,9.87,25.57,0.711
Victor González,497,125.093,81.881,0.307,-3.008,18.71,12.07,30.78,-0.605
Victor Vodnik,186,130.986,85.435,0.357,2.915,13.44,10.75,24.19,1.567
Vince Velasquez,635,118.491,80.364,0.359,-2.885,16.69,12.28,28.97,-0.454
Wade Miley,1872,96.308,81.422,0.344,-11.419,18.11,7.64,25.75,-0.61
Wander Suero,159,110.384,81.711,0.279,2.24,18.24,6.92,25.16,1.409
Wil Crowe,177,106.724,82.737,0.526,1.208,14.12,10.17,24.29,0.682
Yency Almonte,784,134.672,82.698,0.364,2.73,17.6,12.12,29.72,0.348
Yerry De Los Santos,395,111.751,80.533,0.304,-3.216,17.22,6.84,24.06,-0.814
Yohan Ramirez,605,151.588,82.698,0.324,1.254,18.84,8.26,27.1,0.207
Yonny Chirinos,394,157.069,84.844,0.42,7.837,14.72,10.15,24.87,1.989
Yu Darvish,2214,110.906,82.274,0.353,-1.435,18.29,10.66,28.95,-0.065
Yunior Marte,697,122.387,82.003,0.378,5.956,16.5,11.48,27.98,0.855
Zac Gallen,3241,118.191,85.253,0.397,-25.788,17.31,11.23,28.54,-0.796
Zach Davies,1497,84.982,83.79,0.395,20.24,18.37,8.22,26.59,1.352
Zack Thompson,1168,134.368,83.828,0.395,-3.72,19.52,9.59,29.11,-0.318
Zack Wheeler,3146,143.603,81.55,0.35,-21.17,14.34,13.45,27.79,-0.673
