Name,PitchType,Pitches,Velo,MaxVelo,SpinRate,IVB,HB,RelHeight,Extension,StuffPlus,AVGExitVelo,xwOBA,RunValue,CS,SwStr,CSW,RV100
Mike Clevinger,Changeup,270,86.089,93.0,1529.767,9.017,-13.893,5.766,6.862,104.25,76.598,0.224,-4.143,12.59,13.7,26.29,-1.534
Mike Clevinger,Cutter,171,84.963,89.3,2392.468,1.22,4.517,5.874,6.708,133.942,81.917,0.375,-0.196,11.11,13.45,24.56,-0.115
Mike Clevinger,FourSeam,1001,94.334,97.6,2266.694,17.423,-7.247,5.74,6.798,123.297,84.189,0.378,-3.221,19.98,6.59,26.57,-0.322
Mike Clevinger,Sinker,54,93.274,96.4,2142.352,14.504,-13.707,5.679,6.859,120.548,74.732,0.329,-1.489,9.26,9.26,18.52,-2.757
Mike Clevinger,Slider,570,79.42,83.5,2352.895,-2.773,15.148,5.815,6.565,88.875,80.698,0.342,-2.538,15.09,12.98,28.07,-0.445
Mike Mayers,FourSeam,140,92.934,95.5,2283.1,16.712,-7.983,5.553,6.387,108.979,81.437,0.252,0.774,17.86,7.14,25.0,0.553
Mike Mayers,Sinker,52,91.748,93.4,2089.827,9.928,-14.305,5.545,6.327,86.367,94.174,0.364,-2.607,23.08,0.0,23.08,-5.013
Mike Mayers,Slider,142,83.85,86.3,2160.979,-1.966,3.802,5.614,6.222,100.123,82.218,0.363,4.497,14.79,11.97,26.76,3.167
Mitch White,FourSeam,95,93.938,96.2,2214.568,16.171,-4.888,6.056,6.319,98.06,86.535,0.468,4.753,16.84,9.47,26.31,5.003
Mitch White,Slider,105,88.361,91.1,2281.114,3.366,2.521,5.958,6.23,104.455,82.844,0.373,0.965,13.33,12.38,25.71,0.919
Nate Pearson,Curveball,105,80.378,84.0,2586.219,-11.929,11.992,5.81,6.721,136.111,84.025,0.328,2.135,22.86,6.67,29.53,2.033
Nate Pearson,FourSeam,456,97.85,101.9,2303.564,17.573,-7.468,5.548,6.896,177.959,86.501,0.352,-4.787,14.04,10.75,24.79,-1.05
Nate Pearson,Slider,175,87.394,91.6,2573.274,0.015,7.137,5.545,6.877,116.286,85.041,0.34,-0.404,19.43,12.0,31.43,-0.231
Nathan Eovaldi,Curveball,300,75.965,79.1,1955.523,-8.607,9.176,5.699,6.785,112.811,78.808,0.263,-1.53,19.33,15.33,34.66,-0.51
Nathan Eovaldi,Cutter,390,90.585,94.8,2324.828,10.049,0.566,5.521,6.86,105.727,83.105,0.339,-5.971,17.18,9.49,26.67,-1.531
Nathan Eovaldi,FourSeam,824,95.139,99.1,2168.068,13.692,-12.474,5.406,6.864,103.579,84.965,0.411,-5.082,18.57,7.04,25.61,-0.617
Nathan Eovaldi,Slider,90,83.873,88.2,2144.533,1.161,6.771,5.617,6.924,101.481,80.234,0.412,1.57,7.78,7.78,15.56,1.744
Nathan Eovaldi,Splitter,610,87.888,91.9,1641.051,1.562,-13.434,5.581,6.875,145.417,82.975,0.302,-2.016,8.03,18.03,26.06,-0.33
Nestor Cortes,Cutter,307,86.629,91.0,2399.723,8.112,-4.592,5.662,5.835,109.28,83.562,0.405,-0.336,12.38,10.42,22.8,-0.109
Nestor Cortes,FourSeam,555,91.602,95.6,2273.034,19.489,4.0,5.883,5.979,113.259,82.757,0.3,-0.724,16.04,10.63,26.67,-0.13
Nestor Cortes,Sweeper,147,76.242,80.6,2579.871,1.878,-17.044,5.327,5.649,87.018,78.883,0.384,3.471,29.93,8.16,38.09,2.361
Nick Pivetta,Curveball,588,79.373,84.0,2795.736,-17.282,7.952,6.606,6.707,101.695,79.896,0.449,1.315,18.2,12.76,30.96,0.224
Nick Pivetta,Cutter,185,88.344,91.4,2421.227,4.142,5.521,6.592,6.866,164.536,83.102,0.329,1.184,11.35,20.0,31.35,0.64
Nick Pivetta,FourSeam,1205,94.616,97.4,2347.199,20.037,-4.037,6.632,6.914,136.818,83.747,0.404,-6.972,18.34,11.12,29.46,-0.579
Nick Pivetta,Slider,265,86.608,90.9,2392.294,4.033,6.274,6.437,6.854,113.977,82.184,0.381,-0.794,10.57,13.96,24.53,-0.3
Nick Pivetta,Sweeper,128,84.154,87.1,2494.344,4.765,14.163,6.458,6.797,135.911,78.643,0.347,-2.185,7.81,21.88,29.69,-1.707
Nick Ramirez,Changeup,184,79.071,81.2,1582.304,6.462,16.023,5.904,5.81,105.001,77.414,0.293,-0.451,9.24,17.93,27.17,-0.245
Nick Ramirez,Sinker,265,89.071,92.2,2038.894,3.681,16.347,5.901,5.786,137.294,83.309,0.333,-3.816,25.66,6.04,31.7,-1.44
Nick Ramirez,Sweeper,179,79.244,81.9,2470.285,-1.526,-16.684,5.796,5.775,82.717,75.182,0.325,4.015,20.67,10.61,31.28,2.243
Nick Robertson,FourSeam,110,95.761,97.7,2133.364,16.471,-7.233,5.881,7.127,127.441,84.061,0.467,3.407,14.55,13.64,28.19,3.097
Nick Robertson,Slider,53,83.149,86.1,2705.717,3.17,15.374,5.668,6.866,151.063,80.247,0.304,-0.19,16.98,11.32,28.3,-0.358
Nick Sandlin,FourSeam,273,92.1,94.4,2317.832,10.899,-12.26,4.427,6.622,111.313,80.78,0.474,-0.347,15.38,13.19,28.57,-0.127
Nick Sandlin,Sinker,183,92.407,94.6,2153.011,1.976,-16.07,4.4,6.608,108.369,83.214,0.44,-1.906,22.4,4.92,27.32,-1.042
Nick Sandlin,Slider,497,79.146,83.2,2601.179,6.964,9.899,3.948,6.424,122.89,76.237,0.298,-7.412,15.49,17.3,32.79,-1.491
Nick Vespi,FourSeam,101,89.003,91.3,2235.0,5.31,-2.455,6.233,5.775,114.983,82.602,0.269,-1.232,21.78,2.97,24.75,-1.22
Nick Vespi,Slider,60,83.365,85.5,2546.567,1.142,-10.886,6.14,5.783,98.059,82.696,0.432,2.191,10.0,15.0,25.0,3.652
Nick Wittgren,Changeup,56,85.025,87.0,1643.589,2.284,-11.466,5.514,6.875,98.997,84.344,0.415,3.687,5.36,5.36,10.72,6.584
Nick Wittgren,Cutter,63,87.36,89.5,2339.302,6.063,2.352,5.758,6.981,141.911,82.44,0.341,0.676,12.7,9.52,22.22,1.073
Nick Wittgren,FourSeam,170,91.994,94.2,2149.482,14.428,-9.068,5.854,7.028,104.423,84.255,0.332,4.17,17.65,4.71,22.36,2.453
Nick Wittgren,Slider,171,82.979,85.4,2386.187,2.069,10.443,5.69,6.862,108.891,79.835,0.303,-1.725,17.54,8.19,25.73,-1.009
Noah Syndergaard,Changeup,92,87.3,91.1,1599.467,7.183,-14.523,6.27,6.624,105.259,83.536,0.567,3.218,3.26,9.78,13.04,3.498
Noah Syndergaard,Curveball,90,78.3,81.3,2220.644,0.185,9.997,6.252,6.579,108.281,75.532,0.296,-1.824,23.33,10.0,33.33,-2.027
Noah Syndergaard,FourSeam,135,91.88,94.8,2189.385,15.468,-6.921,6.379,6.556,69.138,81.688,0.302,-2.382,14.07,9.63,23.7,-1.764
Noah Syndergaard,Sinker,97,92.257,95.2,2120.237,10.763,-14.407,6.335,6.533,104.045,84.438,0.447,4.732,15.46,3.09,18.55,4.878
Noah Syndergaard,Slider,89,84.89,88.8,2033.191,3.018,4.323,6.318,6.544,101.001,86.45,0.499,2.426,23.6,3.37,26.97,2.726
Oliver Ortega,Curveball,58,82.25,84.6,2435.397,-7.169,5.489,5.857,5.955,98.071,80.8,0.195,-2.08,17.24,10.34,27.58,-3.586
Oliver Ortega,FourSeam,53,95.304,97.2,2320.83,12.516,-9.0,5.791,5.951,89.07,84.86,0.537,-0.272,28.3,7.55,35.85,-0.513
Oliver Ortega,Slider,84,84.345,86.3,2391.512,5.277,5.786,5.542,6.021,107.013,78.709,0.214,1.204,13.1,23.81,36.91,1.433
Pablo López,Changeup,631,88.364,91.7,2066.726,5.788,-16.512,5.526,7.112,125.075,82.011,0.315,-4.011,10.62,14.9,25.52,-0.636
Pablo López,Curveball,375,82.468,86.1,2654.947,-10.307,8.946,5.719,7.094,143.311,84.05,0.386,0.443,13.87,16.53,30.4,0.118
Pablo López,FourSeam,1042,94.88,97.9,2262.057,14.295,-5.011,5.525,7.186,126.473,82.083,0.406,-6.189,17.85,15.93,33.78,-0.594
Pablo López,Sinker,320,94.463,96.8,2113.606,8.258,-14.173,5.566,7.163,128.835,78.293,0.291,-5.995,20.31,5.31,25.62,-1.873
Pablo López,Sweeper,643,84.386,88.8,2494.384,-0.202,13.184,5.378,7.21,145.97,76.898,0.297,-5.761,15.55,15.86,31.41,-0.896
Parker Mushinski,Curveball,83,81.734,83.8,2686.398,-13.025,-10.013,5.635,6.482,145.415,82.755,0.311,0.243,14.46,13.25,27.71,0.293
