Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Christian Vazquez,MIN,C,33,20,65,5,14,0,0,1,5,2,0,2,19,2,1,0,.215,.235,.262,.497
Robbie Grossman,CWS,OF,34,23,65,5,13,3,0,0,3,1,0,12,19,0,0,0,.200,.325,.246,.571
Jake Rogers,DET,C,29,21,64,9,11,1,0,2,5,0,0,4,23,0,0,2,.172,.243,.281,.524
Nick Fortes,MIA,C,27,26,64,3,9,2,0,1,5,0,1,2,8,1,0,1,.141,.179,.219,.398
Keibert Ruiz,WSH,C,25,16,62,3,9,0,0,2,4,0,0,3,9,0,0,2,.145,.209,.242,.451
Jake Fraley,CIN,OF,28,21,61,15,18,4,0,1,4,5,3,6,15,0,0,0,.295,.358,.410,.768
Miguel Sano,LAA,1B,31,21,61,8,16,3,0,1,5,0,0,8,27,0,1,1,.262,.352,.361,.713
Kevin Kiermaier,TOR,OF,34,23,61,6,12,2,0,1,5,2,0,4,19,1,0,0,.197,.246,.279,.525
Pablo Reyes,BOS,SS,30,21,60,4,11,2,0,0,5,1,2,3,19,0,0,1,.183,.234,.217,.451
Jose Miranda,MIN,3B,25,20,60,6,18,5,0,2,8,1,0,2,10,0,0,2,.300,.344,.483,.827
Ivan Herrera,STL,C,23,21,59,7,13,0,0,3,9,0,0,4,15,0,2,1,.220,.273,.373,.646
Dominic Fletcher,CWS,OF,26,20,59,3,12,4,0,0,6,0,0,4,20,1,0,2,.203,.277,.271,.548
Korey Lee,CWS,C,25,23,59,6,16,3,0,3,8,1,1,3,11,0,0,0,.271,.306,.475,.781
Victor Scott,STL,OF,23,20,59,6,5,3,0,0,2,2,0,2,15,0,2,2,.085,.138,.136,.274
Seiya Suzuki,CHC,OF,29,15,59,11,18,4,0,3,13,0,1,6,20,0,2,1,.305,.368,.525,.893
Kyle Farmer,MIN,SS,33,27,59,7,8,4,0,0,5,2,0,8,14,0,0,2,.136,.261,.203,.464
J.D. Davis,OAK,3B,31,16,58,5,12,3,0,2,2,0,0,3,16,0,0,1,.207,.258,.362,.620
Ildemaro Vargas,WSH,3B,32,19,58,7,18,7,0,0,5,2,3,8,7,0,0,0,.310,.394,.431,.825
Jon Singleton,HOU,1B,32,21,58,7,14,2,0,2,6,0,0,7,14,0,1,0,.241,.318,.379,.697
Riley Adams,WSH,C,27,17,58,6,13,4,0,2,6,0,0,6,20,0,2,0,.224,.288,.397,.685
Jordan Walker,STL,OF,21,20,58,4,9,4,1,0,4,0,0,6,18,0,2,1,.155,.239,.259,.498
Darell Hernaiz,OAK,SS,22,26,58,7,11,0,0,0,3,1,0,6,13,1,1,0,.190,.262,.190,.452
Luke Raley,SEA,OF,29,24,58,4,13,1,1,0,3,1,0,1,18,0,0,1,.224,.250,.276,.526
Ben Rortvedt,TB,C,26,22,57,8,20,3,0,0,7,1,0,8,18,0,0,0,.351,.431,.404,.835
Jake Burger,MIA,3B,28,16,57,8,13,2,0,3,15,0,0,5,13,0,2,0,.228,.281,.421,.702
Jose Trevino,NYY,C,31,20,57,9,16,0,0,2,11,0,0,5,8,0,1,0,.281,.333,.386,.719
Nick Senzel,WSH,OF,28,16,57,7,14,2,0,5,11,0,1,6,18,0,0,1,.246,.328,.544,.872
Aaron Hicks,LAA,OF,34,18,57,6,8,0,0,1,5,0,0,6,23,0,0,0,.140,.222,.193,.415
Gio Urshela,DET,3B,32,18,57,4,17,2,0,0,6,0,0,1,10,0,0,0,.298,.310,.333,.643
DJ Stewart,NYM,OF,30,25,56,6,11,2,0,4,14,1,0,16,16,0,1,2,.196,.387,.446,.833
Estevan Florial,CLE,OF,26,20,56,5,11,2,1,3,9,1,1,7,26,1,0,0,.196,.286,.429,.715
Ramon Laureano,CLE,OF,29,22,56,6,9,3,0,1,4,3,1,7,24,0,1,5,.161,.304,.268,.572
Reese McGuire,BOS,C,29,24,56,7,14,1,0,2,10,2,0,7,19,1,0,1,.250,.344,.375,.719
Austin Wells,NYY,C,24,21,56,7,10,2,0,1,3,1,0,13,9,0,2,0,.179,.324,.268,.592
Francisco Alvarez,NYM,C,22,16,55,8,13,4,0,1,8,1,0,4,14,0,0,0,.236,.288,.364,.652
Ernie Clement,TOR,SS,28,26,55,9,15,3,1,2,6,2,0,2,6,2,1,1,.273,.305,.473,.778
Manuel Margot,MIN,OF,29,27,55,7,10,1,0,1,3,1,0,7,15,0,1,0,.182,.270,.255,.525
Carlos Correa,MIN,SS,29,16,55,8,14,2,0,1,7,0,0,10,15,0,1,0,.255,.364,.345,.709
James McCann,BAL,C,33,15,55,7,12,4,0,1,7,0,0,0,11,0,0,0,.218,.218,.345,.563
Max Kepler,MIN,OF,31,16,55,6,15,2,0,2,11,1,0,6,10,0,1,0,.273,.339,.418,.757
Jake Meyers,HOU,OF,27,27,54,7,12,2,1,3,8,0,1,5,15,1,0,1,.222,.300,.463,.763
Wenceel Perez,DET,2B,24,18,53,9,16,1,2,3,8,2,1,7,13,0,0,0,.302,.383,.566,.949
Martin Maldonado,CWS,C,37,20,53,2,6,1,0,1,3,0,0,4,17,1,0,0,.113,.175,.189,.364
Jared Walsh,TEX,1B,30,17,53,9,12,2,0,1,7,0,0,7,21,0,0,0,.226,.317,.321,.638
Bobby Dalbec,BOS,1B,28,22,53,3,7,2,0,0,4,2,0,4,28,1,0,1,.132,.207,.170,.377
Kevin Newman,ARI,SS,30,19,52,6,9,2,0,2,8,0,0,2,9,0,0,0,.173,.204,.327,.531
David Fry,CLE,C,28,21,52,9,17,4,0,1,9,1,0,11,16,0,2,3,.327,.456,.462,.918
Zach McKinstry,DET,2B,29,24,51,3,11,0,1,0,2,1,0,5,18,0,1,1,.216,.293,.255,.548
Freddy Fermin,KC,C,28,17,51,6,11,1,0,1,2,0,0,4,6,0,0,0,.216,.273,.294,.567
Vidal Brujan,MIA,2B,26,25,51,6,15,4,2,0,4,2,1,6,4,0,0,0,.294,.368,.451,.819
Miguel Rojas,LAD,SS,35,22,51,8,14,4,0,2,6,2,0,6,5,0,0,0,.275,.351,.471,.822
Chris Taylor,LAD,OF,33,23,51,4,4,0,0,0,5,1,1,9,24,1,1,1,.078,.226,.078,.304
Carson Kelly,DET,C,29,20,51,4,9,1,0,1,6,0,0,3,12,0,0,1,.176,.236,.255,.491
Avisail Garcia,MIA,OF,32,18,50,4,12,1,0,2,2,0,0,1,13,0,0,0,.240,.255,.380,.635
Braden Shewmake,CWS,SS,26,22,50,3,7,2,0,1,2,4,0,1,8,0,1,0,.140,.154,.240,.394
Jorge Mateo,BAL,SS,28,20,49,9,13,6,0,2,4,5,0,4,15,0,1,1,.265,.327,.510,.837
Ramon Urias,BAL,3B,29,18,48,5,8,1,0,1,3,0,0,1,8,0,0,0,.167,.184,.250,.434
Yan Gomes,CHC,C,36,17,48,3,9,1,0,1,2,0,0,0,17,0,0,0,.188,.188,.271,.459
Gary Sanchez,MIL,C,31,19,48,5,10,3,0,3,6,0,0,3,9,0,0,2,.208,.283,.458,.741
Whit Merrifield,PHI,2B,35,16,48,7,12,2,0,2,3,3,0,4,5,1,0,0,.250,.308,.417,.725
Ezequiel Duran,TEX,SS,24,19,48,3,11,2,0,0,3,1,0,5,16,0,0,0,.229,.302,.271,.573
Nathaniel Lowe,TEX,1B,28,13,48,9,16,3,0,1,4,1,0,7,9,0,0,0,.333,.418,.458,.876
Eguy Rosario,SD,3B,24,28,48,4,12,5,0,3,6,0,0,2,19,1,0,1,.250,.294,.542,.836
Michael Toglia,COL,OF,25,15,47,7,5,0,0,4,8,0,0,1,20,0,0,1,.106,.143,.362,.505
Mike Siani,STL,OF,24,30,47,11,9,0,1,0,1,2,1,5,14,5,0,1,.191,.283,.234,.517
Kris Bryant,COL,OF,32,13,47,3,7,2,0,1,6,0,0,4,18,0,0,4,.149,.273,.255,.528
Adam Duvall,ATL,OF,35,17,47,7,10,2,0,2,8,0,0,5,15,0,1,1,.213,.296,.383,.679
Luke Maile,CIN,C,33,17,45,4,7,1,0,1,4,0,0,4,16,0,0,1,.156,.240,.244,.484
Randal Grichuk,ARI,OF,32,17,45,6,12,4,0,1,8,0,0,3,7,0,2,1,.267,.314,.422,.736
Austin Hays,BAL,OF,28,19,45,4,5,0,0,0,2,0,0,4,11,0,0,1,.111,.200,.111,.311
Michael Massey,KC,2B,26,13,44,8,13,3,0,2,9,0,0,1,4,0,0,0,.295,.311,.500,.811
David Hamilton,BOS,SS,26,15,42,6,9,1,0,1,2,3,0,3,14,0,0,1,.214,.283,.310,.593
Esteury Ruiz,OAK,OF,25,18,42,8,11,2,1,2,7,4,3,4,12,1,1,2,.262,.347,.500,.847
Rene Pinto,TB,C,27,19,42,5,9,3,0,2,6,0,0,4,18,1,1,1,.214,.292,.429,.721
Victor Caratini,HOU,C,30,16,42,8,11,3,0,2,8,0,0,2,8,0,0,1,.262,.311,.476,.787
Nick Madrigal,CHC,2B,27,29,41,4,8,3,0,0,7,1,0,2,2,0,0,1,.195,.250,.268,.518
Omar Narvaez,NYM,C,32,16,41,3,6,2,0,0,3,0,0,2,7,1,0,0,.146,.186,.195,.381
Jose Azocar,SD,OF,27,27,40,8,12,1,0,0,2,0,1,3,12,1,0,0,.300,.349,.325,.674
Christian Yelich,MIL,OF,32,11,39,7,13,1,0,5,11,2,0,6,8,0,0,0,.333,.422,.744,1.166
Danny Mendick,CWS,SS,30,10,39,5,10,3,0,1,3,1,0,2,12,0,0,0,.256,.293,.410,.703
Yoan Moncada,CWS,3B,28,11,39,4,11,3,1,0,0,1,0,5,10,0,0,0,.282,.364,.410,.774
Luis Urias,SEA,2B,26,19,39,4,6,3,0,3,8,0,0,3,16,0,0,3,.154,.267,.462,.729
Trevor Larnach,MIN,OF,27,12,38,9,14,2,0,2,8,0,0,5,9,0,1,0,.368,.432,.579,1.011
Christian Bethancourt,MIA,C,32,18,38,3,1,0,0,0,2,0,0,1,9,0,0,1,.026,.075,.026,.101
Lenyn Sosa,CWS,2B,24,12,38,2,5,2,0,0,1,0,0,1,13,1,0,0,.132,.154,.184,.338
Alika Williams,PIT,SS,25,12,37,7,11,1,2,0,2,1,0,2,8,3,0,0,.297,.333,.432,.765
Garrett Cooper,CHC,1B,33,12,37,3,10,1,1,1,6,0,0,4,13,0,0,0,.270,.341,.432,.773
Danny Jansen,TOR,C,29,12,36,7,11,5,0,3,4,0,0,7,6,0,0,0,.306,.419,.694,1.113
Garrett Hampson,KC,SS,29,25,36,4,8,1,0,0,2,3,0,1,15,0,0,0,.222,.243,.250,.493
Rob Refsnyder,BOS,OF,33,13,35,7,12,4,1,1,7,1,1,7,9,0,0,1,.343,.465,.600,1.065
Austin Shenton,TB,3B,26,14,35,3,6,4,0,1,3,0,0,6,13,0,0,0,.171,.293,.371,.664
Tyler Fitzgerald,SF,OF,26,16,35,6,10,3,1,1,3,4,1,2,14,0,0,1,.286,.342,.514,.856
Jackson Holliday,BAL,SS,20,10,34,5,2,0,0,0,1,0,0,2,18,0,0,0,.059,.111,.059,.170
Tom Murphy,SF,C,33,13,34,3,4,1,0,1,2,0,0,4,14,0,0,0,.118,.211,.235,.446
Joey Bart,PIT,C,27,13,34,4,7,1,0,3,8,0,0,7,13,0,0,1,.206,.357,.500,.857
Austin Slater,SF,OF,31,21,33,3,4,0,0,0,1,1,1,8,9,0,0,1,.121,.310,.121,.431
Jake Cave,COL,OF,31,22,33,4,7,1,1,0,3,0,0,3,10,0,1,0,.212,.270,.303,.573
Jacob Stallings,COL,C,34,13,33,4,12,2,0,1,5,0,0,3,5,0,1,2,.364,.436,.515,.951
Graham Pauley,SD,3B,23,13,32,4,4,0,0,2,5,0,0,0,15,0,0,0,.125,.125,.313,.438
Dominic Canzone,SEA,OF,26,14,32,4,7,1,0,3,6,0,0,3,11,0,0,0,.219,.286,.531,.817
Pete Crow-Armstrong,CHC,OF,22,11,31,2,7,2,0,1,7,1,0,0,7,1,1,0,.226,.219,.387,.606
Tommy Pham,CWS,OF,36,8,31,7,10,2,0,1,3,0,0,2,2,0,0,0,.323,.364,.484,.848
Trevor Story,BOS,SS,31,8,31,1,7,3,0,0,4,1,1,3,9,0,0,0,.226,.294,.323,.617
Austin Hedges,CLE,C,31,10,30,2,4,1,0,1,5,1,0,0,11,0,1,0,.133,.129,.267,.396
J.D. Martinez,NYM,DH,36,9,30,1,8,2,0,0,1,0,0,1,11,0,0,0,.267,.290,.333,.623
Andrew Knizner,TEX,C,29,13,30,2,4,0,0,1,4,0,0,0,8,0,0,0,.133,.133,.233,.366
Chadwick Tromp,ATL,C,29,12,30,1,7,3,0,0,6,0,0,1,10,0,1,0,.233,.250,.333,.583
Tucker Barnhart,ARI,C,33,11,29,3,5,1,0,0,0,1,0,3,11,1,0,0,.172,.250,.207,.457
Travis Jankowski,TEX,OF,32,18,29,4,7,1,0,1,5,1,0,2,3,0,0,0,.241,.290,.379,.669
Joey Wendle,NYM,3B,34,13,29,3,6,1,0,0,1,1,0,1,9,0,0,0,.207,.233,.241,.474
Nick Loftin,KC,1B,25,13,29,7,8,0,0,0,6,0,0,5,5,0,1,0,.276,.371,.276,.647
Luis Robert,CWS,OF,26,7,28,3,6,2,0,2,4,1,0,1,11,0,0,0,.214,.241,.500,.741
Daniel Vogelbach,TOR,DH,31,13,28,1,3,2,0,0,2,0,0,5,9,0,0,0,.107,.242,.179,.421
Trent Grisham,NYY,OF,27,14,28,1,2,0,0,1,3,0,1,5,10,0,0,0,.071,.212,.179,.391
Sean Bouchard,COL,OF,27,10,28,3,6,2,0,0,1,1,0,5,10,0,0,0,.214,.333,.286,.619
Brandon Lowe,TB,2B,29,8,27,3,5,1,0,1,4,0,0,2,7,0,0,1,.185,.267,.333,.600
Max Schuemann,OAK,OF,26,16,27,4,4,1,0,1,2,1,0,2,8,0,1,1,.148,.226,.296,.522
Jonatan Clase,SEA,OF,21,9,27,1,6,1,0,0,3,2,0,1,9,0,0,0,.222,.250,.259,.509
Matt Mervis,CHC,1B,26,9,26,1,3,1,0,0,3,0,0,1,8,0,0,0,.115,.148,.154,.302
Matt Wallner,MIN,OF,26,13,25,1,2,1,0,1,4,0,0,3,17,0,1,4,.080,.273,.240,.513
Kevin Pillar,CWS,OF,35,17,25,1,4,2,0,1,4,2,0,4,8,1,1,1,.160,.290,.360,.650
Austin Barnes,LAD,C,34,10,25,2,6,1,0,0,2,0,0,5,7,0,0,0,.240,.367,.280,.647
Tomas Nido,NYM,C,30,10,25,2,5,1,0,1,1,0,0,1,6,0,0,0,.200,.231,.360,.591
Edmundo Sosa,PHI,SS,28,10,25,3,7,1,0,1,3,0,0,1,6,0,0,1,.280,.333,.440,.773
Kyle Higashioka,SD,C,34,9,25,2,4,1,0,1,1,0,0,0,12,0,0,0,.160,.160,.320,.480
Andy Ibanez,DET,2B,31,11,24,3,8,0,0,0,3,0,0,0,9,0,2,0,.333,.308,.333,.641
Seby Zavala,SEA,C,30,8,24,3,5,2,0,0,1,0,0,0,10,0,0,0,.208,.208,.292,.500
Matt Thaiss,LAA,C,28,10,24,3,6,2,0,0,3,0,0,4,10,0,0,0,.250,.357,.333,.690
Geraldo Perdomo,ARI,SS,24,7,24,3,6,1,0,0,2,0,0,2,3,0,0,1,.250,.333,.292,.625
Dairon Blanco,KC,OF,31,21,24,8,5,2,0,0,0,6,1,2,5,0,0,1,.208,.296,.292,.588
Joey Wiemer,MIL,OF,25,16,23,2,4,0,0,0,0,1,1,1,8,0,0,0,.174,.208,.174,.382
Alan Trejo,COL,SS,27,11,22,0,2,0,0,0,0,0,0,0,6,0,0,0,.091,.091,.091,.182
Alexander Canario,CHC,DH,23,13,22,4,6,1,0,1,2,1,0,2,11,0,0,1,.273,.360,.455,.815
Ehire Adrianza,LAA,OF,34,7,22,4,4,0,0,1,2,0,0,2,9,0,0,0,.182,.250,.318,.568
Jace Peterson,ARI,3B,33,14,22,2,1,0,0,0,1,0,0,3,6,0,1,0,.045,.154,.045,.199
Pavin Smith,ARI,OF,28,10,21,4,4,1,0,1,7,0,0,1,3,0,0,0,.190,.227,.381,.608
Kyle McCann,OAK,C,26,9,21,4,8,0,0,2,6,0,0,3,6,0,0,0,.381,.458,.667,1.125
Garrett Stubbs,PHI,C,30,7,20,1,3,0,0,0,0,1,0,2,4,0,0,0,.150,.227,.150,.377
Luis Guillorme,ATL,2B,29,10,20,2,3,2,0,0,3,0,0,1,5,0,0,0,.150,.190,.250,.440
Patrick Wisdom,CHC,3B,32,7,20,4,5,2,1,1,6,2,0,3,5,0,0,0,.250,.348,.600,.948
Jon Berti,NYY,SS,34,6,19,2,4,0,0,0,1,0,0,1,6,1,0,0,.211,.250,.211,.461
Brandon Crawford,STL,SS,37,7,19,1,2,0,0,0,0,0,0,2,9,0,0,0,.105,.190,.105,.295
Jordan Beck,COL,OF,23,5,18,0,3,0,0,0,0,0,0,0,11,0,0,0,.167,.167,.167,.334
Bubba Thompson,CIN,OF,25,17,18,5,2,1,0,0,0,5,0,0,11,0,0,0,.111,.111,.167,.278
Otto Lopez,MIA,SS,25,12,18,5,5,1,0,1,2,1,0,1,2,0,0,0,.278,.316,.500,.816
Addison Barger,TOR,OF,24,5,18,1,1,0,0,0,0,0,0,0,6,0,0,0,.056,.056,.056,.112
Josh Jung,TEX,3B,26,4,17,5,7,1,1,2,6,1,0,2,4,0,0,0,.412,.474,.941,1.415
Davis Wendzel,TEX,3B,26,11,17,1,2,0,0,1,2,0,0,0,1,0,0,0,.118,.118,.294,.412
Cristian Pache,PHI,OF,25,10,17,1,2,0,0,0,1,0,0,6,7,0,0,0,.118,.348,.118,.466
Niko Goodrum,TB,SS,32,9,16,1,3,0,0,0,0,0,1,1,6,1,0,0,.188,.235,.188,.423
Alex Call,WSH,OF,29,7,16,6,5,1,0,0,1,1,0,3,5,0,0,2,.313,.476,.375,.851
Dane Myers,MIA,OF,28,7,15,4,6,0,1,0,5,1,0,3,5,0,0,0,.400,.500,.533,1.033
Tyler Black,MIL,3B,23,4,15,1,3,2,0,0,0,1,0,1,6,0,0,0,.200,.250,.333,.583
Alek Thomas,ARI,OF,24,4,14,2,3,1,0,1,4,0,0,0,3,0,0,0,.214,.214,.500,.714
Jason Heyward,LAD,OF,34,4,14,3,3,0,0,0,2,0,0,0,1,0,1,0,.214,.200,.214,.414
Garrett Cooper,BOS,1B,33,4,13,0,1,0,0,0,0,0,0,1,4,0,0,1,.077,.200,.077,.277
Joey Loperfido,HOU,OF,24,4,13,1,4,0,0,0,2,0,0,1,5,0,0,0,.308,.357,.308,.665
Miles Mastrobuoni,CHC,3B,28,8,12,2,0,0,0,0,1,0,0,1,3,0,0,0,.000,.077,.000,.077
Owen Miller,MIL,2B,27,7,12,1,1,0,0,0,2,0,0,0,5,0,0,0,.083,.083,.083,.166
Dominic Smith,BOS,1B,28,3,12,0,3,0,0,0,1,0,0,0,2,0,0,0,.250,.250,.250,.500
Hunter Goodman,COL,OF,24,5,11,1,1,0,0,1,3,0,0,2,6,0,0,1,.091,.286,.364,.650
Grae Kessinger,HOU,SS,26,8,10,1,0,0,0,0,0,0,0,0,4,0,0,0,.000,.000,.000,.000
Jorge Barrosa,ARI,OF,23,3,10,1,2,1,0,0,1,0,0,0,1,0,0,0,.200,.200,.300,.500
Buddy Kennedy,DET,3B,25,6,10,2,2,0,0,1,4,1,0,2,4,0,1,0,.200,.308,.500,.808
Matt Carpenter,STL,DH,38,3,10,1,3,0,0,0,0,0,0,0,3,0,0,0,.300,.300,.300,.600
Tony Kemp,BAL,2B,32,5,9,1,0,0,0,0,0,0,0,1,1,0,0,0,.000,.100,.000,.100
Cole Tucker,LAA,OF,27,4,9,1,3,1,0,0,1,2,1,1,2,0,0,0,.333,.400,.444,.844
Zack Short,NYM,2B,28,10,9,2,1,0,0,0,0,0,1,2,4,1,0,0,.111,.273,.111,.384
Heston Kjerstad,BAL,DH,25,4,9,0,2,0,0,0,0,0,0,2,4,0,0,1,.222,.417,.222,.639
Brett Harris,OAK,3B,25,2,8,3,2,0,0,2,3,0,0,1,2,0,0,0,.250,.333,1.000,1.333
Sam Haggerty,SEA,OF,29,3,8,0,0,0,0,0,0,1,0,1,2,0,0,0,.000,.111,.000,.111
David Fletcher,ATL,2B,29,5,8,0,2,0,0,0,2,0,0,0,1,0,1,0,.250,.222,.250,.472
Brian Serven,TOR,C,28,7,8,1,0,0,0,0,0,0,0,1,4,0,0,1,.000,.200,.000,.200
Willie Calhoun,LAA,OF,29,2,8,1,4,2,0,0,0,0,0,0,1,0,0,0,.500,.500,.750,1.250
Andruw Monasterio,MIL,2B,26,4,7,2,0,0,0,0,0,0,0,2,1,0,0,0,.000,.222,.000,.222
Jonny DeLuca,TB,OF,25,2,7,1,1,0,0,0,3,2,0,0,2,0,0,0,.143,.143,.143,.286
Mark Vientos,NYM,DH,24,3,7,1,3,0,0,1,2,0,0,0,0,0,0,0,.429,.429,.857,1.286
Jonah Bride,MIA,3B,28,6,7,0,1,0,0,0,0,0,0,1,2,0,0,0,.143,.250,.143,.393
Drew Millas,WSH,C,26,2,6,0,1,0,0,0,0,1,0,0,1,0,0,0,.167,.167,.167,.334
Taylor Trammell,LAD,OF,26,5,6,0,0,0,0,0,0,0,0,0,3,0,0,0,.000,.000,.000,.000
Luis Arraez,SD,2B,27,1,6,2,4,1,0,0,1,0,0,0,0,0,0,0,.667,.667,.833,1.500
Jahmai Jones,NYY,DH,26,9,6,1,1,0,0,0,0,0,0,0,4,0,0,0,.167,.167,.167,.334
Ryan McKenna,BAL,OF,27,5,5,1,2,0,0,1,1,0,0,0,1,0,0,0,.400,.400,1.000,1.400
Kody Clemens,PHI,3B,27,2,5,1,2,1,0,1,3,0,0,0,1,0,0,0,.400,.400,1.200,1.600
Zach Remillard,CWS,2B,30,2,5,1,1,0,0,0,0,0,0,0,3,0,0,0,.200,.200,.200,.400
Jhonny Pereda,MIA,C,28,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Kevin Pillar,LAA,OF,35,2,5,0,1,0,0,0,0,0,0,0,2,0,0,0,.200,.200,.200,.400
Samad Taylor,SEA,2B,25,3,5,2,2,0,0,0,0,0,0,0,1,0,0,0,.400,.400,.400,.800
Jair Camargo,MIN,C,24,2,4,1,0,0,0,0,0,0,0,1,2,0,0,0,.000,.200,.000,.200
Romy Gonzalez,BOS,2B,27,2,4,1,1,0,0,0,0,0,0,1,1,0,0,0,.250,.400,.250,.650
Luis Matos,SF,OF,22,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000
Yasmani Grandal,PIT,C,35,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,.500
Rafael Ortega,CWS,OF,32,6,4,3,0,0,0,0,1,0,0,1,1,0,1,0,.000,.167,.000,.167
Alex Jackson,TB,C,28,2,4,0,0,0,0,0,1,0,0,0,4,0,1,0,.000,.000,.000,.000
Jason Delay,PIT,C,29,1,3,0,0,0,0,0,1,0,0,1,0,1,0,0,.000,.250,.000,.250
Zack Short,BOS,2B,28,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
Sean Murphy,ATL,C,29,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Vaughn Grissom,BOS,SS,23,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Nasim Nunez,WSH,SS,23,8,3,2,0,0,0,0,0,1,1,0,0,0,0,0,.000,.000,.000,.000
Matthew Batten,SD,3B,28,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,.333,.333,1.000,1.333
Jose Fermin,STL,2B,25,5,3,0,1,0,0,0,0,1,0,2,0,0,0,1,.333,.667,.333,1.000
Blake Sabol,SF,C,26,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,.667,.667,.667,1.334
Pedro Pages,STL,C,25,5,2,0,0,0,0,0,1,0,0,1,1,0,1,0,.000,.250,.000,.250
Royce Lewis,MIN,3B,24,1,2,1,2,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500
Justin Foscue,TEX,2B,25,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
Leonardo Rivas,SEA,2B,26,2,2,1,1,0,1,0,0,0,0,0,1,0,0,0,.500,.500,1.500,2.000
Trey Cabbage,HOU,OF,27,3,2,0,1,1,0,0,1,0,0,0,0,0,0,0,.500,.500,1.000,1.500
Brett Sullivan,SD,C,30,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
Victor Robles,WSH,OF,26,4,2,2,0,0,0,0,0,2,0,3,1,0,0,0,.000,.600,.000,.600
Forrest Wall,ATL,OF,28,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Luke Williams,ATL,SS,27,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Tyler Heineman,BOS,C,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.000,.500,.000,.500
David Banuelos,BAL,C,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Oscar Colas,CWS,OF,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Taylor Trammell,NYY,OF,26,5,1,2,1,0,0,0,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000
