Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Ke'Bryan Hayes,PIT,3B,27,31,118,13,30,7,0,1,10,0,0,14,24,0,3,2,.254,.336,.339,.675
Will Smith,LAD,C,29,30,118,20,41,10,0,4,26,0,1,12,19,0,4,0,.347,.396,.534,.930
Andrew Benintendi,CWS,OF,29,30,118,9,23,2,0,3,13,1,1,4,23,0,0,0,.195,.221,.288,.509
Spencer Steer,CIN,3B,26,33,118,18,29,8,1,4,23,9,0,17,27,0,1,3,.246,.353,.432,.785
Brenton Doyle,COL,OF,25,32,118,19,34,7,1,3,8,4,1,7,39,2,0,1,.288,.333,.441,.774
Marcell Ozuna,ATL,DH,33,31,117,20,35,6,0,9,32,0,0,15,26,0,0,0,.299,.379,.581,.960
Ian Happ,CHC,OF,29,31,116,18,27,5,1,1,12,1,0,20,35,0,0,1,.233,.350,.319,.669
Ryan Mountcastle,BAL,1B,27,30,116,18,34,8,0,5,16,2,0,10,29,0,2,0,.293,.344,.491,.835
Riley Greene,DET,OF,23,33,116,26,32,6,1,8,16,0,0,24,35,0,1,1,.276,.401,.552,.953
Wyatt Langford,TEX,OF,22,31,116,13,26,3,1,1,11,1,1,11,29,0,1,1,.224,.295,.293,.588
Isaac Paredes,TB,3B,25,31,116,16,34,3,0,7,18,0,0,12,23,0,1,3,.293,.371,.500,.871
Ceddanne Rafaela,BOS,OF,23,34,116,16,23,7,2,2,17,4,3,4,34,0,3,1,.198,.226,.345,.571
Elly De La Cruz,CIN,SS,22,33,115,27,32,7,1,8,19,19,3,17,43,0,0,2,.278,.381,.565,.946
Orlando Arcia,ATL,SS,29,31,115,13,31,10,0,2,11,0,0,4,19,0,3,1,.270,.293,.409,.702
Alex Bregman,HOU,3B,30,30,115,6,23,5,0,1,11,2,0,14,16,0,1,0,.200,.285,.270,.555
Harold Ramirez,TB,DH,29,30,114,13,30,2,0,1,10,3,2,2,23,0,1,1,.263,.280,.307,.587
Jorge Polanco,SEA,2B,30,33,114,13,22,1,0,5,13,1,2,20,42,0,0,1,.193,.319,.333,.652
Josh Naylor,CLE,1B,26,31,114,15,30,7,0,7,24,2,2,13,17,0,2,3,.263,.348,.509,.857
Andrew Vaughn,CWS,1B,26,31,114,7,22,6,0,0,7,1,0,8,34,0,1,2,.193,.256,.246,.502
Jordan Westburg,BAL,2B,25,31,114,17,33,5,2,5,21,4,1,7,26,1,0,2,.289,.341,.500,.841
Oswaldo Cabrera,NYY,OF,25,31,113,15,27,4,0,4,18,2,0,6,21,0,1,0,.239,.275,.381,.656
Mitch Haniger,SEA,OF,33,31,113,12,24,4,0,4,18,0,0,10,36,0,0,0,.212,.276,.354,.630
Jeff McNeil,NYM,2B,32,32,113,12,27,6,0,1,7,2,0,11,14,1,0,2,.239,.317,.319,.636
Matt Olson,ATL,1B,30,31,113,14,22,8,1,3,16,0,0,18,35,0,1,3,.195,.319,.363,.682
Joey Meneses,WSH,DH,31,29,113,3,25,3,0,0,14,1,0,9,23,0,2,2,.221,.286,.248,.534
Jesse Winker,WSH,OF,30,32,112,16,27,6,0,3,15,3,0,15,30,0,1,4,.241,.348,.375,.723
J.T. Realmuto,PHI,C,33,29,112,17,27,3,1,5,14,1,2,9,34,0,1,1,.241,.301,.420,.721
Jackson Merrill,SD,SS,21,34,112,15,31,4,1,1,14,4,2,9,19,1,1,0,.277,.328,.357,.685
Zach Neto,LAA,SS,23,32,112,8,26,8,0,2,12,5,2,6,35,0,0,1,.232,.277,.357,.634
Sal Frelick,MIL,OF,24,30,111,15,28,4,1,0,5,4,2,12,27,0,0,1,.252,.331,.306,.637
Michael Busch,CHC,3B,26,32,111,17,30,6,1,6,18,0,0,10,38,0,3,1,.270,.328,.505,.833
JJ Bleday,OAK,OF,26,34,111,9,28,8,1,4,13,0,0,12,24,0,0,0,.252,.325,.450,.775
Jared Triolo,PIT,3B,26,31,111,6,25,2,0,1,11,2,1,14,27,0,1,0,.225,.310,.270,.580
Vinnie Pasquantino,KC,1B,26,32,111,17,25,7,0,4,16,0,0,18,13,0,2,0,.225,.328,.396,.724
Giancarlo Stanton,NYY,OF,34,30,111,15,25,6,0,6,18,0,0,9,39,0,0,0,.225,.283,.441,.724
Alex Verdugo,NYY,OF,27,32,111,18,30,6,0,4,13,1,1,17,12,0,3,1,.270,.364,.432,.796
Mark Canha,DET,OF,35,32,110,16,28,8,0,5,16,1,0,16,25,0,0,5,.255,.374,.464,.838
Amed Rosario,TB,SS,28,30,110,10,34,5,1,2,15,4,1,3,16,0,0,0,.309,.327,.427,.754
Nolan Gorman,STL,2B,23,31,110,8,20,5,0,4,12,0,1,11,40,0,0,0,.182,.256,.336,.592
Will Benson,CIN,OF,25,31,110,11,22,9,1,4,11,6,2,11,48,0,0,0,.200,.273,.409,.682
Luis Campusano,SD,C,25,31,109,15,29,8,0,2,19,0,0,6,11,0,0,0,.266,.304,.394,.698
Christian Encarnacion-Strand,CIN,1B,24,27,109,13,21,6,0,2,16,0,0,3,33,0,2,1,.193,.217,.303,.520
Mike Trout,LAA,OF,32,29,109,17,24,1,2,10,14,6,1,16,27,0,0,1,.220,.325,.541,.866
Rhys Hoskins,MIL,1B,31,30,108,14,25,5,0,6,18,1,0,13,27,0,1,4,.231,.333,.444,.777
Jose Caballero,TB,2B,27,30,108,14,29,6,1,2,13,9,5,3,27,2,1,3,.269,.304,.398,.702
Willi Castro,MIN,OF,27,32,107,16,31,9,2,2,12,4,3,8,35,1,1,3,.290,.353,.467,.820
Cedric Mullins,BAL,OF,29,33,107,17,22,3,0,6,17,6,2,8,27,0,2,1,.206,.263,.402,.665
Carlos Santana,MIN,1B,38,29,107,9,19,3,0,4,13,0,0,9,21,0,0,3,.178,.261,.318,.579
Max Muncy,LAD,3B,33,31,107,20,28,7,0,8,22,0,0,18,37,0,3,2,.262,.369,.551,.920
Bryce Harper,PHI,1B,31,30,107,16,25,5,0,6,18,1,2,24,30,0,1,0,.234,.371,.449,.820
Ty France,SEA,1B,29,30,106,11,27,4,0,2,8,0,0,9,25,0,1,0,.255,.310,.349,.659
Evan Carter,TEX,OF,21,31,106,21,25,6,2,5,14,2,0,13,29,0,1,2,.236,.328,.472,.800
Tim Anderson,MIA,SS,30,32,105,8,23,3,0,0,5,3,1,6,35,0,0,0,.219,.261,.248,.509
Brice Turang,MIL,2B,24,30,104,16,32,6,0,2,12,14,0,11,17,0,1,0,.308,.371,.423,.794
Jackson Chourio,MIL,OF,20,29,103,14,23,2,0,4,13,6,0,7,35,1,1,0,.223,.270,.359,.629
Leody Taveras,TEX,OF,25,31,103,9,24,6,1,1,5,2,2,9,20,1,0,0,.233,.295,.340,.635
Elias Diaz,COL,C,33,29,103,12,31,6,0,2,15,0,0,6,19,0,2,3,.301,.351,.417,.768
Justin Turner,TOR,1B,39,31,102,16,30,8,0,4,16,0,2,11,22,0,2,2,.294,.368,.490,.858
Jonathan India,CIN,2B,27,28,102,11,23,3,1,1,10,3,0,17,24,0,1,2,.225,.344,.304,.648
Jonah Heim,TEX,C,28,28,102,12,28,3,0,3,19,1,0,5,23,0,0,1,.275,.315,.392,.707
Brandon Marsh,PHI,OF,26,31,102,10,27,2,1,6,20,4,0,8,37,0,2,0,.265,.313,.480,.793
Shea Langeliers,OAK,C,26,31,102,13,19,3,1,7,16,0,1,7,26,0,3,2,.186,.246,.441,.687
Daulton Varsho,TOR,OF,27,33,101,18,24,7,0,6,16,3,0,14,28,0,0,0,.238,.330,.485,.815
Edouard Julien,MIN,2B,25,32,101,16,22,5,0,7,14,2,0,18,38,0,0,1,.218,.342,.475,.817
Elehuris Montero,COL,3B,25,29,101,7,21,2,0,2,11,0,0,8,20,0,2,0,.208,.261,.287,.548
Brendan Rodgers,COL,2B,27,29,100,12,23,5,1,1,8,0,0,6,30,0,0,0,.230,.274,.330,.604
Jeimer Candelario,CIN,3B,30,28,100,10,19,6,1,3,10,0,1,10,37,0,1,2,.190,.274,.360,.634
Abraham Toro,OAK,3B,27,31,100,15,28,6,1,3,13,1,0,6,21,0,0,3,.280,.339,.450,.789
Cal Raleigh,SEA,C,27,29,100,13,21,0,0,7,15,0,0,12,38,0,1,0,.210,.292,.420,.712
Brett Baty,NYM,3B,24,31,100,13,27,2,0,3,13,0,0,9,21,0,0,1,.270,.336,.380,.716
Jack Suwinski,PIT,OF,25,33,99,12,17,4,0,2,9,1,0,12,22,0,1,0,.172,.259,.273,.532
Nick Ahmed,SF,SS,34,32,99,7,24,4,1,0,9,0,1,4,20,1,1,1,.242,.276,.303,.579
Charlie Blackmon,COL,OF,37,28,99,11,21,4,2,1,9,1,0,8,15,0,0,0,.212,.271,.323,.594
Willson Contreras,STL,C,31,28,98,17,27,9,0,5,10,2,0,18,30,0,0,3,.276,.403,.520,.923
MJ Melendez,KC,OF,25,30,98,9,17,5,0,4,12,1,0,9,26,0,0,0,.173,.243,.347,.590
Ryan Jeffers,MIN,C,26,29,98,16,29,10,0,5,21,1,0,8,21,0,2,7,.296,.383,.551,.934
Colt Keith,DET,3B,22,29,97,5,15,2,0,0,8,2,0,9,18,0,1,0,.155,.224,.175,.399
Ozzie Albies,ATL,2B,27,23,97,17,30,9,0,2,18,2,0,6,15,0,0,3,.309,.368,.464,.832
Connor Joe,PIT,OF,31,29,96,18,28,8,0,3,14,2,0,12,17,0,0,1,.292,.376,.469,.845
Gavin Sheets,CWS,OF,28,29,96,10,25,8,0,3,12,1,0,12,22,0,1,3,.260,.357,.438,.795
Kerry Carpenter,DET,OF,26,33,96,9,25,5,2,3,15,0,0,7,26,0,1,3,.260,.327,.448,.775
Logan O'Hoppe,LAA,C,24,29,96,12,25,5,1,2,11,0,0,6,25,1,0,2,.260,.317,.396,.713
Bryson Stott,PHI,2B,26,30,96,16,23,2,1,3,16,6,1,13,17,0,2,1,.240,.330,.375,.705
Josh Smith,TEX,SS,26,33,96,17,29,10,1,2,15,0,0,13,21,0,0,4,.302,.407,.490,.897
Nolan Schanuel,LAA,1B,22,28,95,10,23,1,0,3,11,0,0,12,19,1,1,2,.242,.336,.347,.683
Luis Garcia,WSH,2B,23,28,94,6,29,8,0,2,15,5,0,7,20,0,0,0,.309,.356,.457,.813
Kyle Isbel,KC,OF,27,31,94,12,21,3,1,3,9,3,0,4,17,1,0,1,.223,.263,.372,.635
Nolan Jones,COL,OF,25,26,94,11,16,5,1,1,7,2,1,9,37,0,0,0,.170,.243,.277,.520
Brayan Rocchio,CLE,SS,23,30,94,14,20,8,0,0,4,5,2,12,20,1,1,1,.213,.306,.298,.604
Tyler Freeman,CLE,3B,24,28,93,17,18,4,0,3,12,3,3,9,19,0,1,4,.194,.290,.333,.623
Javier Baez,DET,SS,31,28,93,6,17,4,0,1,9,6,0,5,22,0,2,1,.183,.228,.258,.486
Mitch Garver,SEA,C,33,27,92,8,14,6,0,3,8,0,0,12,35,0,1,2,.152,.262,.315,.577
Byron Buxton,MIN,DH,30,28,92,12,23,8,1,1,11,1,2,3,32,0,1,4,.250,.300,.391,.691
Harrison Bader,NYM,OF,29,27,92,13,26,2,0,1,7,5,2,3,19,0,0,2,.283,.320,.337,.657
