Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Hunter Stratton,PIT,27,15,0,0,0,16.1,14,5,18,1,2,1,0,1,1,1,2.76,0.92
Matthew Liberatore,STL,24,12,0,0,0,16.1,10,5,10,8,1,1,1,0,0,1,2.76,1.10
Burch Smith,MIA,34,14,0,0,0,16.1,19,6,12,7,0,1,0,0,0,1,3.31,1.59
Scott Barlow,CLE,31,18,0,0,0,16.1,12,5,20,8,1,2,2,1,0,7,2.76,1.22
Clay Holmes,NYY,31,16,0,0,0,16.1,14,0,18,1,0,1,0,11,1,0,0.00,0.92
Scott McGough,ARI,34,15,0,0,0,16.0,18,12,10,10,2,1,3,0,2,1,6.75,1.75
Jason Adam,TB,32,16,0,0,0,16.0,7,3,13,6,2,2,0,2,1,7,1.69,0.81
Jorge Lopez,NYM,31,16,0,0,0,16.0,12,4,13,6,0,0,0,2,0,3,2.25,1.13
Jay Jackson,MIN,36,11,0,0,0,16.0,13,7,18,5,3,1,1,0,0,0,3.94,1.13
Jordan Montgomery,ARI,31,3,3,0,0,16.0,17,10,8,4,3,1,2,0,0,0,5.63,1.31
Jacob Latz,TEX,28,16,0,0,0,16.0,12,5,14,4,1,0,1,0,0,4,2.81,1.00
Jalen Beeks,COL,30,14,0,0,0,16.0,11,5,12,8,2,2,2,1,1,1,2.81,1.19
Declan Cronin,MIA,26,10,0,0,0,16.0,13,3,19,9,0,0,2,0,0,0,1.69,1.38
Erik Miller,SF,26,16,1,0,0,16.0,7,9,20,10,2,0,1,0,1,4,5.06,1.06
Landon Knack,LAD,26,3,3,0,0,16.0,11,5,11,5,3,1,1,0,0,0,2.81,1.00
Elvis Peguero,MIL,27,14,0,0,0,16.0,18,6,15,6,0,4,0,0,0,4,3.38,1.50
Josh Fleming,PIT,27,13,1,0,0,16.0,11,4,10,6,1,1,1,1,0,1,2.25,1.06
Cade Smith,CLE,24,16,0,0,0,15.2,10,4,24,6,0,1,0,0,1,2,2.30,1.02
Trevor Richards,TOR,30,16,0,0,0,15.2,8,6,17,8,3,0,0,0,0,3,3.45,1.02
Hunter Gaddis,CLE,26,17,0,0,0,15.2,14,5,17,3,1,1,1,0,3,7,2.87,1.09
Ryne Nelson,ARI,26,4,4,0,0,15.2,19,8,13,5,2,1,2,0,0,0,4.60,1.53
Bryan Abreu,HOU,27,15,0,0,0,15.2,14,7,21,11,4,1,1,0,1,4,4.02,1.60
Dylan Floro,WSH,33,15,0,0,0,15.2,9,1,13,7,0,0,0,0,0,4,0.57,1.02
Thyago Vieira,MIL,30,10,0,0,0,15.2,12,9,18,10,4,0,0,1,0,0,5.17,1.40
Rafael Montero,HOU,33,16,0,0,0,15.2,10,6,8,5,2,0,1,0,2,4,3.45,0.96
Shawn Armstrong,TB,33,12,3,0,0,15.2,13,6,20,7,0,1,1,1,0,2,3.45,1.28
